timestamp,model,pooling,hidden_dim,heads,lr,batch_size,epochs,scheduler,accuracy_mean,accuracy_std
2026-03-05 13:50:50,gcn,sum,64,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 13:54:39,gcn,sum,64,,0.005,16,200,cosine,0.8298,0.0655
2026-03-05 13:58:31,gcn,sum,128,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 14:02:24,gcn,sum,128,,0.005,16,200,cosine,0.819,0.0825
2026-03-05 14:06:10,gcn,mean,64,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 14:09:48,gcn,mean,64,,0.005,16,200,cosine,0.8298,0.0655
2026-03-05 14:13:34,gcn,mean,128,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 14:17:33,gcn,mean,128,,0.005,16,200,cosine,0.819,0.0825
2026-03-05 14:21:26,gcn,max,64,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 14:25:25,gcn,max,64,,0.005,16,200,cosine,0.8246,0.0665
2026-03-05 14:29:30,gcn,max,128,,0.001,16,200,cosine,0.7442,0.0922
2026-03-05 14:33:29,gcn,max,128,,0.005,16,200,cosine,0.819,0.0825
2026-03-05 14:37:05,gin,sum,64,,0.001,16,200,cosine,0.8827,0.0522
2026-03-05 14:40:35,gin,sum,64,,0.005,16,200,cosine,0.888,0.0557
2026-03-05 14:44:04,gin,sum,128,,0.001,16,200,cosine,0.8827,0.0573
2026-03-05 14:47:25,gin,sum,128,,0.005,16,200,cosine,0.867,0.0488
2026-03-05 14:50:56,gin,mean,64,,0.001,16,200,cosine,0.888,0.0557
2026-03-05 14:54:30,gin,mean,64,,0.005,16,200,cosine,0.8719,0.0602
2026-03-05 14:57:44,gin,mean,128,,0.001,16,200,cosine,0.8827,0.0573
2026-03-05 15:00:53,gin,mean,128,,0.005,16,200,cosine,0.8667,0.0603
2026-03-05 15:04:07,gin,max,64,,0.001,16,200,cosine,0.8933,0.0536
2026-03-05 15:07:18,gin,max,64,,0.005,16,200,cosine,0.8827,0.062
2026-03-05 15:10:28,gin,max,128,,0.001,16,200,cosine,0.8775,0.0584
2026-03-05 15:13:45,gin,max,128,,0.005,16,200,cosine,0.8561,0.0541
2026-03-05 15:51:18,gat,max,64,4,0.001,16,200,cosine,0.7602,0.0729
2026-03-05 16:12:33,gat,max,64,4,0.005,16,200,cosine,0.7763,0.0707
2026-03-05 16:33:45,gat,max,128,4,0.001,16,200,cosine,0.7658,0.0742
2026-03-05 16:58:45,gat,max,128,4,0.005,16,200,cosine,0.7858,0.0642
2026-03-09 15:00:42,gcn,,128,,0.001,32,300,cosine,0.7494,0.0869
2026-03-09 15:13:15,gin,max,64,,0.001,16,200,cosine,0.8877,0.0618
2026-03-22 16:27:29,gin,max,64,,0.001,16,100,cosine,0.8827,0.0466
2026-03-24 22:24:25,gin,max,64,,0.001,16,200,cosine,0.8825,0.0632
